3b-swf-20110110-git	3b-swf-swc, 3b-swf
hu.dwim.rdbms-20101107-darcs	hu.dwim.rdbms.test, hu.dwim.rdbms.sqlite.test, hu.dwim.rdbms.sqlite, hu.dwim.rdbms.postgresql.test, hu.dwim.rdbms.postgresql, hu.dwim.rdbms.oracle.test, hu.dwim.rdbms.oracle, hu.dwim.rdbms.documentation, hu.dwim.rdbms.all.test, hu.dwim.rdbms.all, hu.dwim.rdbms
hu.dwim.reiterate-20101107-darcs	hu.dwim.reiterate.test, hu.dwim.reiterate.documentation, hu.dwim.reiterate
hu.dwim.serializer-20101207-darcs	hu.dwim.serializer.test, hu.dwim.serializer.documentation, hu.dwim.serializer
hu.dwim.stefil-20101207-darcs	hu.dwim.stefil.test, hu.dwim.stefil+swank, hu.dwim.stefil+hu.dwim.def+swank, hu.dwim.stefil+hu.dwim.def, hu.dwim.stefil
hu.dwim.syntax-sugar-20101207-darcs	hu.dwim.syntax-sugar.unicode, hu.dwim.syntax-sugar.test, hu.dwim.syntax-sugar.documentation, hu.dwim.syntax-sugar+hu.dwim.walker, hu.dwim.syntax-sugar
hu.dwim.util-20101207-darcs	hu.dwim.util.zlib, hu.dwim.util.worker-group, hu.dwim.util.threads, hu.dwim.util.test, hu.dwim.util.temporary-files, hu.dwim.util.standard-process, hu.dwim.util.source, hu.dwim.util.soap, hu.dwim.util.production+swank, hu.dwim.util.production, hu.dwim.util.mop, hu.dwim.util.i18n, hu.dwim.util.flexml, hu.dwim.util.finite-state-machine, hu.dwim.util.error-handling+swank, hu.dwim.util.error-handling, hu.dwim.util.documentation, hu.dwim.util.authorization, hu.dwim.util+iolib, hu.dwim.util
hu.dwim.walker-20101107-darcs	hu.dwim.walker.test, hu.dwim.walker.documentation, hu.dwim.walker
hu.dwim.wui-20101107-darcs	hu.dwim.wui.http.test, hu.dwim.wui.http, hu.dwim.wui.component, hu.dwim.wui.application.test, hu.dwim.wui.application, hu.dwim.wui+swank, hu.dwim.wui+stefil, hu.dwim.wui+cl-typesetting, hu.dwim.wui+cl-graph+cl-typesetting, hu.dwim.wui
hunchentoot-1.1.1	hunchentoot-test, hunchentoot
hunchentoot-auth-20101107-git	hunchentoot-auth
